Name,Distance,Mass,Radius,Constellation,Rightascension,Declination,App.mag.,Spectraltype,Brown dwarf,Orbitalperiod,Semimajoraxis,Ecc.,Discovery year,Link
54 Piscium,36.1,53,,Pisces,00h 39m 22s,+21° 15′ 02″,5.88,K0V,B,,476,,2006,https://en.wikipedia.org/wiki/54_Piscium
81 Cancri,66,,,Cancer,9 h 12 m 14.69s,14°  59 ′  39.6″,6.77,L8,CD,,,,2007,https://en.wikipedia.org/wiki/81_Cancri
AB Pictoris,66.6,13.5,,Pictor,06h  19s,−58° 03′ 15″,9.16,K2V,b,,275,,2005,https://en.wikipedia.org/wiki/AB_Pictoris
CD−33°7795,163.08,20,,Hydra,11h 31m 55s,–34° 36′ 17″,11.37,M1,b,,100,,1998,https://en.wikipedia.org/w/index.php?title=CD-33%C2%B07795&action=edit&redlink=1
CT Chamaeleontis,538,17,2.2,Chamaeleon,11h 04m 09s,–76° 27′ 19″,12.36,K7,b,,440,,2008,https://en.wikipedia.org/wiki/CT_Chamaeleontis
Eta Coronae Borealis,58.3,63,,Corona Borealis,15h 23m 22.6s,30° 14′ 56″,5.02,L8,C,,3600,,2010,https://en.wikipedia.org/wiki/Eta_Coronae_Borealis
G 196-3,50.2,25,,Ursa Major,10h 04m 22s,+50° 23′ 23″,11.77,M2.5,b,,300,,1998,https://en.wikipedia.org/wiki/G_196-3
GD 165,103,,,Boötes,14h 24m 39.144s,9° 17′ 13.98″,14.6,D4A+L4,B,,,,1988,https://en.wikipedia.org/wiki/GD_165
Gliese 570,19,52,,Libra,14h 57m 28s,−21° 24′ 56″,5.64,K4V+M1V+M3V,D,,1500,,2000,https://en.wikipedia.org/wiki/Gliese_570
GU Piscium,155.3,11,,Pisces,01h 12m 35.04s,+17° 03′ 55.7″,13.1,M3V,b,,2000,,2006,https://en.wikipedia.org/wiki/GU_Piscium
HD 89744,126.2,,,Ursa Major,10h 22m 10.56s,+41° 13′ 46.31″,5.74,F7IV,B,,,,2000,https://en.wikipedia.org/wiki/HD_89744
HD 100546,337.25,20,,Musca,11h 33m 25s,–70° 11′ 41″,6.7,B9Vne,b,,6.5?,,2005,https://en.wikipedia.org/wiki/HD_100546
